"","name","Team","position","marginal.total.points","dollar.value","status"
"1","Raimel Tapia","Rockies","outfield",5.62,15.48,""
"2","Mallex Smith","Braves","outfield",5.5,15.15,""
"3","Jonathan Villar","Brewers","shortstop",4.34,11.96,""
"4","Jose Ramirez","Indians","shortstop",4.3,11.85,""
"5","Wilin Rosario","Rockies","catcher",4.29,11.8,""
"6","Clint Coulter","Brewers","catcher",4.17,11.47,""
"7","Charlie Tilson","Cardinals","outfield",3.8,10.47,""
"8","Lance Lynn","Cardinals","pitcher",3.8,10.45,""
"9","Alen Hanson","Pirates","shortstop",3.79,10.44,""
"10","Dilson Herrera","Mets","second_base",3.35,9.22,""
"11","Cristhian Adames","Rockies","shortstop",3.31,9.11,""
"12","Phillip Ervin","Reds","outfield",3.31,9.1,""
"13","Jesus Montero","Mariners","catcher",3.29,9.05,""
"14","Danny Santana","Twins","shortstop",3.14,8.64,""
"15","Arismendy Alcantara","Cubs","second_base",3.04,8.38,""
"16","Micah Johnson","Dodgers","second_base",3.02,8.32,""
"17","Reymond Fuentes","Royals","outfield",2.93,8.06,""
"18","Jake Marisnick","Astros","outfield",2.87,7.9,""
"19","Gregory Bird","Yankees","first_base",2.81,7.74,""
"20","Alex Verdugo","Dodgers","outfield",2.79,7.67,""
"21","Rafael Bautista","Nationals","outfield",2.66,7.34,""
"22","Jorge Polanco","Twins","shortstop",2.58,7.11,""
"23","Andy Wilkins","Brewers","first_base",2.55,7.03,""
"24","Dariel Alvarez","Orioles","outfield",2.45,6.74,""
"25","Brandon Drury","Diamondbacks","third_base",2.44,6.73,""
"26","Eury Perez","Braves","outfield",2.37,6.51,""
"27","Christian Bethancourt","Padres","catcher",2.3,6.34,""
"28","Wilmer Difo","Nationals","second_base",2.29,6.29,""
"29","Jimmy Rollins","White Sox","shortstop",2.28,6.26,""
"30","Josmil Pinto","Twins","catcher",2.21,6.08,""
"31","Darnell Sweeney","Phillies","second_base",2.19,6.04,""
"32","Ezequiel Carrera","Blue Jays","outfield",2.18,6,""
"33","Austin Barnes","Dodgers","catcher",2.17,5.96,""
"34","Jack Reinheimer","Diamondbacks","shortstop",2.14,5.89,""
"35","Steven Moya","Tigers","outfield",2.09,5.75,""
"36","Rob Refsnyder","Yankees","second_base",2.08,5.74,""
"37","Alex Bregman","Astros","shortstop",2.08,5.72,""
"38","Taylor Motter","Rays","outfield",1.99,5.48,""
"39","Pat Valaika","Rockies","shortstop",1.99,5.48,""
"40","Tyler Saladino","White Sox","third_base",1.97,5.44,""
