"","player","team","error"
"1","Hunter Harvey","rippe","not matched"
"2","Manuel Margot","deano","not matched"
"3","Ryan McMahon","marmaduke","not matched"
"4","Byung-ho Park","pk dodgers","not matched"
"5","Jesse Winker","balco","not matched"
"6","Sean Newcomb","jobu","not matched"
"7","Yoan Moncada","counsel","not matched"
"8","Ben Revere","deener","not matched"
"9","Kenta Maeda","d&s","not matched"
"10","Delino DeShields Jr.","sturgeon","not matched"
"11","Jordan Zimmerman","bears","not matched"
