Value,Points,Category,Year,,,,,,,
270,18,HR,,,,,,,,
265,17,HR,,,,,,,,
254,16,HR,,,,,,,,
252,15,HR,,,,,,,,
250,14,HR,,,,,,,,
244,13,HR,,,,,,,,
238,12,HR,,,,,,,,
218,11,HR,,,,,,,,
204,10,HR,,,,,,,,
202,9,HR,,,,,,,,
199,7.5,HR,,,,,,,,
199,7.5,HR,,,,,,,,
194,6,HR,,,,,,,,
184,5,HR,,,,,,,,
176,3.5,HR,,,,,,,,
176,3.5,HR,,,,,,,,
148,2,HR,,,,,,,,
144,1,HR,,,,,,,,
269,18,HR,,,,,,,,
258,17,HR,,,,,,,,
257,16,HR,,,,,,,,
250,15,HR,,,,,,,,
248,14,HR,,,,,,,,
246,13,HR,,,,,,,,
242,12,HR,,,,,,,,
236,11,HR,,,,,,,,
194,10,HR,,,,,,,,
187,9,HR,,,,,,,,
185,8,HR,,,,,,,,
183,7,HR,,,,,,,,
181,5.5,HR,,,,,,,,
181,5.5,HR,,,,,,,,
175,4,HR,,,,,,,,
170,3,HR,,,,,,,,
162,2,HR,,,,,,,,
156,1,HR,,,,,,,,
314,18,HR,,,,,,,,
299,17,HR,,,,,,,,
283,16,HR,,,,,,,,
281,15,HR,,,,,,,,
251,14,HR,,,,,,,,
248,13,HR,,,,,,,,
245,12,HR,,,,,,,,
236,11,HR,,,,,,,,
233,9.5,HR,,,,,,,,
233,9.5,HR,,,,,,,,
217,8,HR,,,,,,,,
207,7,HR,,,,,,,,
206,6,HR,,,,,,,,
205,5,HR,,,,,,,,
194,4,HR,,,,,,,,
175,3,HR,,,,,,,,
129,2,HR,,,,,,,,
115,1,HR,,,,,,,,
800,1,R,,,,,,,,
809,2,R,,,,,,,,
849,4,R,,,,,,,,
810,3,R,,,,,,,,
803,3,R,,,,,,,,
859,5,R,,,,,,,,
824,4,R,,,,,,,,
1183,17,R,,,,,,,,
867,6,R,,,,,,,,
750,2,R,,,,,,,,
977,10,R,,,,,,,,
1200,18,R,,,,,,,,
885,7,R,,,,,,,,
841,5.5,R,,,,,,,,
841,5.5,R,,,,,,,,
882,7,R,,,,,,,,
966,10,R,,,,,,,,
994,11,R,,,,,,,,
706,1,R,,,,,,,,
791,4,R,,,,,,,,
903,8,R,,,,,,,,
902,8,R,,,,,,,,
756,3,R,,,,,,,,
926,9,R,,,,,,,,
811,5,R,,,,,,,,
919,9,R,,,,,,,,
974,11,R,,,,,,,,
887,8,R,,,,,,,,
828,6,R,,,,,,,,
996,12,R,,,,,,,,
853,7,R,,,,,,,,
1157,18,R,,,,,,,,
901,9,R,,,,,,,,
975,12,R,,,,,,,,
918,10,R,,,,,,,,
1001,13,R,,,,,,,,
942,11,R,,,,,,,,
997,13,R,,,,,,,,
966,12,R,,,,,,,,
987,13,R,,,,,,,,
1015,14,R,,,,,,,,
1014,14,R,,,,,,,,
1086,17,R,,,,,,,,
1027,15,R,,,,,,,,
1022,15,R,,,,,,,,
988,14,R,,,,,,,,
1040,16,R,,,,,,,,
1092,18,R,,,,,,,,
1034,16,R,,,,,,,,
993,15,R,,,,,,,,
621,2,R,,,,,,,,
1008,16,R,,,,,,,,
1015,17,R,,,,,,,,
422,1,R,,,,,,,,
1118,18,RBI,,,,,,,,
1078,17,RBI,,,,,,,,
1006,16,RBI,,,,,,,,
1001,15,RBI,,,,,,,,
993,14,RBI,,,,,,,,
947,13,RBI,,,,,,,,
930,12,RBI,,,,,,,,
925,11,RBI,,,,,,,,
922,10,RBI,,,,,,,,
907,9,RBI,,,,,,,,
870,8,RBI,,,,,,,,
849,7,RBI,,,,,,,,
838,6,RBI,,,,,,,,
837,5,RBI,,,,,,,,
788,4,RBI,,,,,,,,
764,3,RBI,,,,,,,,
619,2,RBI,,,,,,,,
414,1,RBI,,,,,,,,
1069,18,RBI,,,,,,,,
995,17,RBI,,,,,,,,
993,16,RBI,,,,,,,,
991,15,RBI,,,,,,,,
928,14,RBI,,,,,,,,
925,13,RBI,,,,,,,,
912,12,RBI,,,,,,,,
907,10.5,RBI,,,,,,,,
907,10.5,RBI,,,,,,,,
882,9,RBI,,,,,,,,
859,8,RBI,,,,,,,,
811,7,RBI,,,,,,,,
790,6,RBI,,,,,,,,
767,5,RBI,,,,,,,,
753,4,RBI,,,,,,,,
741,3,RBI,,,,,,,,
734,2,RBI,,,,,,,,
731,1,RBI,,,,,,,,
1124,18,RBI,,,,,,,,
1031,17,RBI,,,,,,,,
1018,16,RBI,,,,,,,,
976,15,RBI,,,,,,,,
975,14,RBI,,,,,,,,
971,13,RBI,,,,,,,,
912,12,RBI,,,,,,,,
901,11,RBI,,,,,,,,
899,10,RBI,,,,,,,,
870,9,RBI,,,,,,,,
839,8,RBI,,,,,,,,
833,7,RBI,,,,,,,,
816,5.5,RBI,,,,,,,,
816,5.5,RBI,,,,,,,,
809,4,RBI,,,,,,,,
801,3,RBI,,,,,,,,
758,2,RBI,,,,,,,,
671,1,RBI,,,,,,,,
206,18,SB,,,,,,,,
194,17,SB,,,,,,,,
189,16,SB,,,,,,,,
177,14.5,SB,,,,,,,,
177,14.5,SB,,,,,,,,
171,13,SB,,,,,,,,
168,12,SB,,,,,,,,
160,11,SB,,,,,,,,
157,10,SB,,,,,,,,
155,9,SB,,,,,,,,
123,8,SB,,,,,,,,
121,7,SB,,,,,,,,
117,6,SB,,,,,,,,
113,5,SB,,,,,,,,
110,4,SB,,,,,,,,
108,3,SB,,,,,,,,
95,2,SB,,,,,,,,
52,1,SB,,,,,,,,
196,18,SB,,,,,,,,
189,17,SB,,,,,,,,
186,16,SB,,,,,,,,
184,15,SB,,,,,,,,
180,14,SB,,,,,,,,
169,13,SB,,,,,,,,
163,12,SB,,,,,,,,
151,11,SB,,,,,,,,
148,10,SB,,,,,,,,
144,9,SB,,,,,,,,
143,8,SB,,,,,,,,
141,7,SB,,,,,,,,
133,6,SB,,,,,,,,
132,5,SB,,,,,,,,
107,4,SB,,,,,,,,
95,3,SB,,,,,,,,
92,2,SB,,,,,,,,
80,1,SB,,,,,,,,
182,18,SB,,,,,,,,
170,17,SB,,,,,,,,
168,16,SB,,,,,,,,
165,15,SB,,,,,,,,
160,14,SB,,,,,,,,
156,13,SB,,,,,,,,
155,12,SB,,,,,,,,
139,11,SB,,,,,,,,
132,10,SB,,,,,,,,
129,9,SB,,,,,,,,
128,8,SB,,,,,,,,
127,7,SB,,,,,,,,
119,5.5,SB,,,,,,,,
119,5.5,SB,,,,,,,,
102,4,SB,,,,,,,,
