"","name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"1","Clayton Kershaw","Dodgers","pitcher","2036",215,2.01,0.92,0,18,265,13.79,37.96,"drafted"
"2","Max Scherzer","Nationals","pitcher","3137",212.3,2.67,1.07,0,16,249,9.84,27.09,"drafted"
"3","Madison Bumgarner","Giants","pitcher","5524",210,2.7,1.03,0,17,216,9.81,27.01,"drafted"
"4","Jake Arrieta","Cubs","pitcher","4153",186.3,2.56,1.05,0,16,194,8.59,23.64,"drafted"
"5","Chris Sale","White Sox","pitcher","10603",195.7,2.99,1.05,0,14,241,8.5,23.39,"drafted"
"6","Johnny Cueto","Giants","pitcher","6893",207,2.87,1.09,0,16,178,7.73,21.28,"drafted"
"7","Kenley Jansen","Dodgers","pitcher","3096",63.7,2.26,0.94,35,4,96,7.54,20.76,"drafted"
"8","Zack Greinke","Diamondbacks","pitcher","1943",190.7,2.78,1.07,0,15,174,7.46,20.55,"drafted"
"9","Corey Kluber","Indians","pitcher","2429",202,3.21,1.09,0,14,217,7.3,20.1,"drafted"
"10","Jon Lester","Cubs","pitcher","4930",199,2.98,1.11,0,15,194,7.23,19.9,"drafted"
"11","Stephen Strasburg","Nationals","pitcher","10131",169.7,2.92,1.07,0,14,194,6.96,19.17,"drafted"
"12","Felix Hernandez","Mariners","pitcher","4772",200.3,3.14,1.11,0,14,203,6.9,18.98,"drafted"
"13","Wade Davis","Royals","pitcher","7441",66,2.32,1.08,30,7,84,6.68,18.38,"drafted"
"14","Carlos Carrasco","Indians","pitcher","6632",172.3,3.08,1.08,0,14,193,6.65,18.32,"drafted"
"15","Mark Melancon","Pirates","pitcher","4264",68,2.51,1.01,35,4,64,6.63,18.26,"drafted"
"16","David Price","Red Sox","pitcher","3184",209.3,3.35,1.13,0,14,211,6.57,18.07,"drafted"
"17","Jacob deGrom","Mets","pitcher","10954",178.3,2.83,1.1,0,13,186,6.56,18.07,"drafted"
"18","Cody Allen","Indians","pitcher","12183",70.7,2.8,1.13,33,5,95,6.54,18.01,"drafted"
"19","Trevor Rosenthal","Cardinals","pitcher","10745",74.7,2.53,1.17,32,5,97,6.48,17.84,"drafted"
"20","Jeurys Familia","Mets","pitcher","5114",77,2.69,1.06,34,3,83,6.48,17.84,"drafted"
"21","Gerrit Cole","Pirates","pitcher","13125",190,3.08,1.15,0,16,180,6.45,17.76,"drafted"
"22","Ken Giles","Astros","pitcher","12910",72,2.75,1.17,32,6,87,6.35,17.47,"drafted"
"23","David Robertson","White Sox","pitcher","8241",60.3,2.83,1.04,31,6,83,6.31,17.38,"drafted"
"24","Craig Kimbrel","Red Sox","pitcher","6655",59.7,2.72,1.12,34,4,82,6.1,16.8,"drafted"
"25","Zach Britton","Orioles","pitcher","3240",67.7,2.79,1.09,34,4,70,6.09,16.77,"drafted"
"26","Shawn Tolleson","Rangers","pitcher","10481",71.3,3.28,1.14,33,6,76,6.09,16.75,"drafted"
"27","Hector Rondon","Cubs","pitcher","2391",64,2.95,1.14,35,5,62,6.01,16.55,"drafted"
"28","Noah Syndergaard","Mets","pitcher","11762",172,3.09,1.1,0,12,194,5.96,16.41,"drafted"
"29","Dallas Keuchel","Astros","pitcher","9434",202.3,3.29,1.16,0,15,177,5.82,16.03,"drafted"
"30","Aroldis Chapman","Yankees","pitcher","10233",62,2.47,1.13,28,5,101,5.8,15.98,"drafted"
"31","Will Smith","Brewers","pitcher","8048",70.7,3.06,1.19,31,5,91,5.71,15.71,"drafted"
"32","Chris Archer","Rays","pitcher","6345",195.3,3.23,1.2,0,14,202,5.65,15.54,"drafted"
"33","Sonny Gray","Athletics","pitcher","12768",211,3.2,1.18,0,14,179,5.64,15.52,"drafted"
"34","Brad Boxberger","Rays","pitcher","10133",69,3.26,1.22,30,6,90,5.5,15.14,"drafted"
"35","Matt Harvey","Mets","pitcher","11713",170.3,2.91,1.08,0,10,161,5.26,14.47,"drafted"
"36","Danny Salazar","Indians","pitcher","5867",178,3.49,1.15,0,13,195,5.19,14.3,"drafted"
"37","Jeff Samardzija","Giants","pitcher","3254",196,3.31,1.14,0,11,180,5.01,13.79,"drafted"
"38","Jose Fernandez","Marlins","pitcher","11530",147.3,2.75,1.1,0,9,171,4.81,13.23,"drafted"
"39","Jose Fernandez","Marlins","pitcher","11530",147.3,2.75,1.1,0,9,171,4.81,13.23,"drafted"
"40","Garrett Richards","Angels","pitcher","9784",182.3,3.21,1.19,0,13,170,4.78,13.17,"drafted"
