"","team_name","spent","left","picks.left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"deano","deano",253,7,6,114.1,7.5,7.2,7.2,9.5,8.5,17.5,18,12.4,18,8.3
"rippe","rippe",247,13,6,100.1,10.4,9.8,9.3,11.7,13.9,10.9,12.2,12,2.9,7
"bears","bears",245,15,6,99.9,12.2,10.4,10.7,16.3,12.1,7.2,7,13.8,3.2,7
"pasadena","pasadena",246,14,10,99.8,12.9,14.7,12.9,11.1,17.2,6.8,6,11.7,5,1.5
"isotopes","isotopes",256,4,3,97.3,9.4,10.6,10.7,6.4,10.5,10.5,10.1,12.5,5.7,10.9
"dembums","dembums",242,18,9,93.4,10.4,12.8,11.6,7.1,10.8,8.3,9,11.2,8.4,3.8
"marmaduke","marmaduke",242,18,7,93.2,8.9,12.2,11.1,12.7,9,8.3,8.3,9.4,9.2,4.1
"baycity","baycity",240,20,1,89.8,9.3,9.1,9.4,10.8,10.2,9.1,9.6,11.3,1.8,9.2
"sturgeon","sturgeon",218,42,5,89.6,9.5,10,10.3,11.7,11.5,7.4,6,5.8,15.3,2.1
"ottawa","ottawa",243,17,6,88,8.6,11.1,9.7,8.7,7.2,8.7,8.8,11.2,7,7
"bellevegas","bellevegas",253,7,6,86.2,9.9,14,11.7,4.1,8.6,8.3,6.9,7.8,10.6,4.3
"deener","deener",228,32,3,85.5,7.3,6.3,7.2,8.4,13.6,8.8,8.3,7.8,12.5,5.3
"jobu","jobu",253,7,4,85.2,6.9,6.5,6.5,7.8,8.2,8.7,9.1,10.1,14.1,7.3
"d&s","d&s",248,12,6,84.5,8.1,10.7,9.9,7.6,6.4,9,8.9,10.5,8.3,5.1
"pk dodgers","pk dodgers",249,11,0,83,4.1,4.6,4.7,8.6,8.1,11.7,12.8,12.7,5,10.7
"hermanos","hermanos",244,16,6,82.3,7.2,9.6,8.6,4.8,7.4,8.9,8.9,9.2,13.6,4.1
"counsel","counsel",227,33,6,76.9,5.4,7.4,6.4,2.9,10.3,10.3,11.1,10.5,8.1,4.5
"balco","balco",211,49,8,69,8.8,12.4,10.9,3.9,5.3,3.7,2.2,5.4,15.4,1
