"","team_name","spent","left","picks.left","total_points","R_points","HR_points","RBI_points","SB_points","AVG_points","ERA_points","WHIP_points","K_points","SV_points","W_points"
"deano","deano",260,0,0,122.5,10.2,7.9,9.2,9.6,9.7,18,18,12.3,18,9.6
"bears","bears",260,0,0,116.6,15.1,12.2,13.4,18,11.5,9.5,10.5,12.6,1,12.8
"pasadena","pasadena",258,2,0,114.4,13.6,15.7,13.8,12,12.8,9.5,12,12.3,1.2,11.5
"rippe","rippe",259,1,0,112.7,12.1,10.9,11,11.8,12.6,12.8,14.1,12.9,1.5,13
"jobu","jobu",261,-1,0,105.3,11,8.4,10.9,11.4,9.1,11,11.4,10.1,11.5,10.5
"isotopes","isotopes",275,-15,0,104.9,11,10.7,11.2,7.3,11.1,11.2,10.8,13.1,6.3,12.2
"marmaduke","marmaduke",260,0,0,104.6,10.6,11.9,11.8,13.6,8,10.6,11.5,9.4,7.8,9.4
"sturgeon","sturgeon",254,6,0,104.2,11.6,12.3,11.9,9.1,12.8,9.7,5.9,8.4,14.2,8.3
"d&s","d&s",260,0,0,103.8,9.4,11.7,12.1,8.8,6.6,12.9,14.4,10.7,7.2,10
"bellevegas","bellevegas",260,0,0,103,12.1,15.3,14.2,7.2,8,9.5,10.3,8.1,9.5,8.8
"hermanos","hermanos",275,-15,0,99.5,10.4,12,13.3,5.8,5.4,11,13.1,7.4,13.6,7.5
"pk dodgers","pk dodgers",254,6,0,99,6.9,4.6,6.1,10.8,8.8,12.6,14.1,13.9,9.9,11.3
"counsel","counsel",253,7,0,96.8,9.3,11.5,11.5,3.5,9.3,11.3,13.8,9.8,6.3,10.5
"balco","balco",227,33,0,96.3,10.1,13.2,11.8,3.3,6.4,15.4,16,1,18,1.1
"baycity","baycity",244,16,0,96.1,10.4,9.7,9.8,11.1,9.3,10.4,11.8,9.6,4.4,9.6
"dembums","dembums",256,4,0,91.6,7.4,11.9,9.2,6.5,10.1,11.7,15.2,6.7,6.3,6.6
"ottawa","ottawa",257,3,0,88,9.8,11.5,11.1,9.1,7.4,8.3,9.4,8.7,5.7,7
"deener","deener",231,29,0,86.7,8,8.1,9.7,9.3,11.8,7.8,9,5.1,12.8,5.1
