"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Miguel Cabrera","Tigers","601","520","163","33","1","26","86","93","72","101","4","2","1"," ",".314",".398",".534",".932",".394"," ","151","-3.3","-1.0"," ","32.6","-12.5","4.2","1744"
"Paul Goldschmidt","Diamondbacks","652","543","158","36","2","30","93","93","100","142","3","14","7"," ",".290",".401",".531",".931",".390"," ","145","1.0","7.5"," ","35.3","-4.7","5.4","9218"
"Joey Votto","Reds","620","496","141","29","2","21","84","73","113","121","5","7","4"," ",".283",".418",".479",".897",".386"," ","145","-1.8","4.3"," ","30.4","-7.2","4.5","4314"
"Anthony Rizzo","Cubs","644","552","154","33","2","32","92","98","72","108","14","10","7"," ",".279",".374",".519",".892",".380"," ","143","-0.8","9.3"," ","31.2","-2.8","5.1","3473"
"Edwin Encarnacion","Blue Jays","543","469","124","25","1","30","77","88","64","84","5","3","2"," ",".265",".356",".514",".870",".371"," ","135","-0.7","-0.3"," ","21.5","-14.5","2.6","2151"
"Freddie Freeman","Braves","624","538","152","32","1","24","77","82","74","125","7","4","2"," ",".283",".374",".480",".854",".368"," ","135","-0.4","3.4"," ","25.4","-8.3","3.9","5361"
"Prince Fielder","Rangers","637","558","162","31","1","23","83","90","66","90","8","1","1"," ",".290",".371",".474",".845",".361"," ","124","-3.8","-0.7"," ","13.8","-17.1","1.9","4613"
"Jose Abreu","White Sox","646","584","165","30","2","32","85","99","46","136","10","1","1"," ",".283",".344",".504",".848",".358"," ","127","-0.9","-1.1"," ","19.1","-14.3","2.8","15676"
"Chris Davis","Orioles","622","539","132","25","1","38","85","98","70","194","8","3","2"," ",".245",".338",".503",".840",".357"," ","125","0.4","3.4"," ","18.5","-8.5","3.2","9272"
"Gregory Bird","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".264",".336",".479",".815",".350"," ","121","0.0","0.0"," ","0.0","0.0","0.0","14131"
"Mark Reynolds","Rockies","318","278","70","13","1","15","38","43","33","85","3","3","2"," ",".251",".333",".465",".798",".344"," ","101","-0.5","-1.0"," ","-0.2","-7.7","0.2","7619"
"Eric Hosmer","Royals","639","575","164","32","3","18","75","82","55","103","3","6","3"," ",".285",".348",".448",".796",".343"," ","117","0.0","2.7"," ","12.4","-9.4","2.5","3516"
"Carlos Santana","Indians","613","507","121","27","1","20","74","72","96","113","4","6","4"," ",".239",".362",".416",".778",".341"," ","117","-1.5","-0.2"," ","10.2","-15.2","1.6","2396"
"Brandon Belt","Giants","523","463","123","27","3","17","59","66","50","132","5","7","4"," ",".265",".340",".446",".785",".339"," ","122","0.0","6.9"," ","13.3","-3.1","2.8","10264"
"Adrian Gonzalez","Dodgers","623","560","153","30","0","24","75","84","54","109","4","1","1"," ",".272",".337",".456",".794",".339"," ","119","-3.2","7.4"," ","10.3","-4.3","2.7","1908"
"Lucas Duda","Mets","545","466","111","23","0","23","64","70","65","133","9","2","1"," ",".238",".340",".435",".775",".336"," ","117","-0.2","0.5"," ","10.8","-10.2","1.9","2502"
"Mark Teixeira","Yankees","478","414","96","18","0","24","60","68","55","98","5","2","1"," ",".233",".328",".451",".779",".335"," ","111","-1.7","4.5"," ","4.3","-4.8","1.6","1281"
"Chris Carter","Brewers","400","346","77","15","1","22","47","55","46","129","4","2","1"," ",".222",".317",".456",".773",".333"," ","107","-0.5","-3.2"," ","2.7","-11.4","0.4","9911"
"Pedro Alvarez"," ","295","261","63","11","1","15","35","41","30","83","2","2","1"," ",".242",".321",".462",".784",".333"," ","110","-0.2","-2.9"," ","3.4","-8.8","0.4","2495"
"Albert Pujols","Angels","583","529","138","26","1","27","72","86","44","69","5","4","2"," ",".260",".320",".464",".784",".333"," ","116","-4.4","1.5"," ","6.4","-12.7","1.4","1177"
"Ryan Zimmerman","Nationals","420","378","99","21","1","15","48","56","36","86","2","2","1"," ",".263",".328",".440",".768",".333"," ","110","-0.4","2.1"," ","4.4","-6.4","1.2","4220"
"Adam Lind","Mariners","483","428","115","22","1","15","55","59","48","86","2","1","1"," ",".268",".342",".431",".773",".332"," ","114","-1.7","-0.9"," ","6.3","-10.5","1.2","8027"
"Chris Colabello","Blue Jays","327","298","78","15","1","13","39","44","23","88","3","1","1"," ",".262",".318",".452",".770",".331"," ","108","-0.4","-0.2"," ","2.6","-7.6","0.6","13051"
"Brandon Moss","Cardinals","404","356","86","17","1","18","47","54","39","109","5","1","1"," ",".240",".322",".445",".767",".330"," ","110","0.0","-1.5"," ","4.7","-9.2","0.9","4467"
"Matt Adams","Cardinals","392","363","98","20","2","15","44","54","23","83","2","2","1"," ",".270",".314",".457",".771",".330"," ","110","-0.2","2.8"," ","4.3","-4.9","1.2","9393"
