"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Buster Posey","Giants","562","501","153","29","1","18","69","74","52","58","4","2","1"," ",".306",".373",".473",".846",".363"," ","138","-1.7","5.1"," ","23.2","10.1","5.4","9166"
"Kyle Schwarber","Cubs","546","477","125","21","2","25","72","76","58","136","5","5","3"," ",".261",".345",".474",".819",".353"," ","124","1.0","-0.6"," ","16.2","-6.6","2.8","16478"
"Yasmani Grandal","Dodgers","414","351","85","17","1","14","46","49","56","92","2","2","1"," ",".241",".347",".411",".758",".334"," ","115","-1.4","-1.6"," ","5.6","5.8","2.6","11368"
"Jonathan Lucroy","Brewers","522","467","128","27","3","12","60","54","45","70","3","3","2"," ",".273",".339",".417",".756",".330"," ","104","-1.7","1.1"," ","1.0","8.2","2.7","7870"
"Travis d'Arnaud","Mets","427","385","99","21","2","16","47","55","34","71","3","1","1"," ",".257",".320",".445",".765",".330"," ","113","-0.5","-1.4"," ","6.1","7.1","2.8","7739"
"Wilin Rosario","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".272",".308",".465",".773",".329"," ","91","0.0","0.0"," ","0.0","0.0","0.0","8002"
"John Jaso","Pirates","382","333","87","20","1","9","43","40","40","67","4","3","2"," ",".260",".344",".406",".750",".329"," ","111","-1.1","0.7"," ","4.0","-7.1","0.9","5887"
"Nick Hundley","Rockies","365","337","93","18","3","10","38","44","20","77","3","5","3"," ",".276",".320",".438",".758",".327"," ","89","-0.8","0.9"," ","-5.5","8.6","1.5","3376"
"Evan Gattis","Astros","535","494","122","21","5","26","65","77","30","115","5","1","1"," ",".248",".296",".471",".767",".326"," ","106","-1.0","0.0"," ","2.7","-14.8","0.6","11003"
"Russell Martin","Blue Jays","459","397","94","18","1","17","54","55","50","96","7","5","3"," ",".237",".331",".415",".746",".326"," ","105","-1.7","6.0"," ","0.7","15.2","3.3","4616"
"Brian McCann","Yankees","498","445","107","16","1","23","59","67","41","84","7","1","1"," ",".241",".312",".434",".746",".323"," ","102","-2.0","2.8"," ","-0.8","12.5","3.0","4810"
"Devin Mesoraco","Reds","431","386","94","19","2","17","46","54","35","90","6","3","2"," ",".243",".314",".431",".745",".322"," ","100","-0.7","0.7"," ","-0.6","5.3","1.9","5666"
"Jesus Montero","Mariners","208","193","52","8","1","7","22","26","12","44","1","1","1"," ",".268",".310",".437",".747",".322"," ","107","-0.7","0.0"," ","0.9","-4.7","0.3","5514"
"Josmil Pinto","Twins","33","30","8","2","0","1","4","4","3","7","0","0","0"," ",".255",".322",".416",".738",".321"," ","102","0.0","0.0"," ","0.0","-0.9","0.0","6806"
"Stephen Vogt","Athletics","477","428","111","21","3","13","52","56","41","83","2","2","1"," ",".260",".326",".414",".740",".320"," ","105","-0.5","1.6"," ","2.1","8.8","2.8","5000"
"William Swanner","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".251",".308",".427",".735",".318"," ","83","0.0","0.0"," ","0.0","0.0","0.0","sa549202"
"Francisco Cervelli","Pirates","428","381","102","17","3","6","39","42","36","81","6","2","1"," ",".268",".338",".376",".715",".315"," ","102","-0.4","-1.6"," ","0.5","5.5","2.1","5275"
"Salvador Perez","Royals","476","450","123","23","1","15","50","59","17","67","3","1","1"," ",".273",".302",".432",".734",".315"," ","97","-2.1","5.2"," ","-3.7","14.9","2.9","7304"
"Yadier Molina","Cardinals","420","386","107","22","1","7","40","45","26","50","3","2","1"," ",".278",".326",".397",".723",".314"," ","99","-1.8","7.4"," ","-2.3","15.9","2.8","7007"
"Tom Murphy","Rockies","18","17","4","1","0","1","2","2","1","5","0","0","0"," ",".245",".296",".432",".729",".313"," ","79","0.0","0.0"," ","-0.4","0.4","0.1","13499"
"Miguel Montero","Cubs","343","298","73","13","0","9","34","37","37","76","4","2","1"," ",".244",".333",".379",".712",".312"," ","95","-1.8","0.8"," ","-3.6","7.8","1.6","3364"
"Welington Castillo","Diamondbacks","276","249","61","12","1","9","28","33","19","65","4","1","1"," ",".244",".306",".411",".717",".312"," ","91","-0.9","0.1"," ","-3.6","5.7","1.1","3256"
"Dioner Navarro","White Sox","217","197","51","9","0","6","23","25","16","35","1","1","1"," ",".257",".315",".397",".712",".311"," ","94","-0.8","-1.0"," ","-2.4","3.4","0.9","3179"
"Ryan Casteel","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".264",".306",".411",".717",".311"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa549286"
"Michael McKenry","Rangers","31","27","6","1","0","1","3","3","3","7","0","0","0"," ",".235",".316",".390",".706",".310"," ","89","-0.1","-0.3"," ","-0.4","0.3","0.1","9628"
"Matt Wieters","Orioles","420","382","93","18","1","14","46","50","32","85","2","1","1"," ",".244",".303",".411",".713",".309"," ","92","-1.4","5.7"," ","-5.3","14.1","2.4","4298"
"Austin Barnes","Dodgers","45","40","10","2","0","1","4","5","4","7","0","1","0"," ",".256",".323",".380",".703",".309"," ","98","0.0","-0.1"," ","-0.1","0.4","0.2","12158"
"Derek Norris","Padres","469","418","100","21","1","13","47","50","41","102","4","3","2"," ",".240",".312",".390",".702",".307"," ","98","-0.2","-0.2"," ","-1.5","4.9","1.9","6867"
"Christian Vazquez","Red Sox","111","99","26","6","0","2","12","11","9","18","1","2","1"," ",".261",".325",".377",".701",".307"," ","88","-0.1","0.7"," ","-1.6","3.0","0.5","9774"
"Jarrod Saltalamacchia","Tigers","232","204","46","11","0","8","26","27","23","69","1","1","1"," ",".227",".306",".399",".705",".307"," ","92","0.0","-2.4"," ","-2.2","2.4","0.8","5557"
"JR Murphy","Twins","251","228","58","12","1","6","26","27","17","52","2","1","1"," ",".253",".307",".397",".704",".307"," ","92","0.1","-0.3"," ","-2.3","5.0","1.2","10346"
"Yan Gomes","Indians","428","397","99","22","1","14","44","52","21","103","5","1","1"," ",".249",".292",".416",".709",".306"," ","92","-0.3","3.7"," ","-4.1","12.3","2.4","9627"
"Alex Avila","White Sox","230","193","41","9","0","6","24","22","33","74","1","1","1"," ",".211",".327",".352",".679",".305"," ","90","-0.9","1.6"," ","-3.6","6.4","1.1","7476"
"Blake Swihart","Red Sox","335","309","82","18","1","5","35","36","20","68","2","4","3"," ",".265",".311",".385",".696",".304"," ","86","0.1","-0.6"," ","-5.4","6.4","1.3","13176"
"Taylor Davis","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".259",".305",".391",".696",".303"," ","89","0.0","0.0"," ","0.0","0.0","0.0","sa578786"
"Chance Sisco","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".263",".318",".370",".688",".302"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa737615"
"Robinson Chirinos","Rangers","311","278","65","13","1","9","34","35","24","69","4","2","1"," ",".234",".303",".387",".690",".302"," ","84","-0.5","1.6"," ","-6.4","8.3","1.3","3142"
"Chris Iannetta","Mariners","296","250","54","11","0","8","31","29","38","75","3","2","1"," ",".215",".323",".353",".676",".302"," ","93","-0.9","0.2"," ","-3.2","6.5","1.4","8267"
"Willson Contreras","Cubs","13","11","3","1","0","0","1","1","1","2","0","0","0"," ",".257",".311",".378",".689",".302"," ","89","0.0","0.0"," ","-0.2","0.3","0.1","sa508176"
"Wilson Ramos","Nationals","404","377","95","16","0","14","41","48","20","73","2","1","1"," ",".252",".290",".407",".698",".301"," ","87","-1.5","3.1"," ","-7.4","11.2","1.7","1433"
"J.T. Realmuto","Marlins","433","400","103","19","4","8","39","45","24","66","3","9","5"," ",".257",".302",".387",".689",".299"," ","87","0.2","-0.1"," ","-6.5","8.8","1.7","11739"
"Josh Phegley","Athletics","154","142","34","7","1","5","16","18","7","29","2","1","0"," ",".241",".285",".400",".684",".296"," ","88","-0.1","0.4"," ","-2.2","3.6","0.7","9308"
"Steve Clevenger","Mariners","141","128","33","6","1","2","13","13","10","22","1","1","0"," ",".259",".314",".365",".679",".296"," ","89","-0.4","-0.3"," ","-2.2","1.1","0.4","9542"
"A.J. Ellis","Dodgers","212","182","41","8","0","4","19","20","25","40","2","1","1"," ",".226",".322",".341",".663",".296"," ","89","-1.2","2.3"," ","-4.0","6.7","1.0","5677"
"Ryan Lavarnway","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".308",".365",".673",".296"," ","86","0.0","0.0"," ","0.0","0.0","0.0","8879"
"Dustin Garneau","Rockies","152","138","33","7","0","4","15","16","10","25","2","1","1"," ",".238",".296",".384",".680",".295"," ","67","0.0","0.3"," ","-5.8","3.4","0.2","9433"
"Andrew Susac","Giants","169","150","34","7","1","4","15","17","15","42","2","1","0"," ",".229",".304",".364",".668",".295"," ","91","0.0","-0.5"," ","-1.7","3.1","0.7","13132"
"A.J. Pierzynski","Braves","322","301","79","14","1","7","28","33","13","42","4","1","1"," ",".261",".298",".378",".676",".294"," ","84","-2.0","-0.4"," ","-7.9","6.0","0.9","746"
"Carlos Ruiz","Phillies","230","205","50","11","1","3","19","20","18","33","4","1","1"," ",".243",".313",".349",".663",".293"," ","82","-0.7","0.3"," ","-5.4","5.1","0.7","2579"
"Jason Castro","Astros","360","320","72","17","1","10","38","37","31","103","3","2","1"," ",".224",".296",".373",".669",".293"," ","83","0.3","0.1"," ","-6.9","7.7","1.3","8722"
"Erik Kratz","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".284",".390",".674",".292"," ","82","0.0","0.0"," ","0.0","0.0","0.0","4403"
"Charlie Cutler","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".314",".343",".657",".291"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa454748"
"George Kottaras","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".201",".299",".360",".659",".291"," ","80","0.0","0.0"," ","0.0","0.0","0.0","5506"
"Ryan Hanigan","Red Sox","148","130","31","6","0","2","15","13","14","26","2","1","1"," ",".238",".318",".331",".650",".291"," ","77","-0.3","1.6"," ","-4.3","4.8","0.6","4952"
