"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Edwin Encarnacion","Blue Jays","608","525","139","27","1","34","87","99","72","94","5","3","2"," ",".265",".357",".514",".871",".371"," ","136","-0.8","-0.3"," ","24.3","-16.1","3.0","2151"
"Miguel Sano","Twins","624","542","138","29","2","34","85","96","71","184","5","5","3"," ",".255",".344",".504",".848",".363"," ","131","-1.4","0.0"," ","20.7","-8.2","3.5","12164"
"Prince Fielder","Rangers","643","563","163","31","1","24","85","90","67","91","8","1","1"," ",".290",".371",".474",".846",".361"," ","124","-3.8","-0.7"," ","13.9","-17.3","1.9","4613"
"David Ortiz","Red Sox","603","525","143","32","1","27","83","92","70","101","2","1","1"," ",".272",".358",".493",".851",".358"," ","123","-5.2","-0.1"," ","10.9","-16.0","1.6","745"
"Victor Martinez","Tigers","594","536","155","29","1","18","72","79","48","61","5","1","1"," ",".290",".351",".448",".799",".340"," ","115","-5.2","-0.3"," ","4.9","-16.1","0.9","393"
"Nelson Cruz","Mariners","623","562","143","26","1","32","79","93","51","152","5","3","2"," ",".255",".321",".476",".797",".339"," ","119","-2.7","-0.7"," ","10.9","-16.3","1.6","2434"
"Chris Carter","Brewers","552","477","106","20","1","30","66","76","64","177","5","3","2"," ",".223",".318",".458",".777",".335"," ","108","-0.7","-2.0"," ","4.4","-13.3","0.9","9911"
"Kendrys Morales","Royals","626","562","152","33","1","20","73","80","51","106","6","1","1"," ",".270",".335",".440",".775",".335"," ","111","-4.3","0.0"," ","3.5","-16.9","0.8","8610"
"Albert Pujols","Angels","646","585","152","28","1","30","80","94","49","76","6","4","3"," ",".260",".321",".464",".785",".334"," ","116","-4.9","1.5"," ","7.4","-14.0","1.5","1177"
"Adam Lind","Mariners","537","476","128","25","1","17","63","68","53","95","2","1","1"," ",".269",".343",".431",".774",".333"," ","114","-1.9","0.0"," ","7.1","-10.5","1.5","8027"
"John Jaso","Pirates","491","427","111","26","1","12","60","48","52","86","5","5","3"," ",".261",".346",".410",".755",".331"," ","113","-1.4","0.8"," ","5.9","-8.9","1.3","5887"
"Evan Gattis","Astros","551","509","126","22","6","27","68","81","31","119","6","1","1"," ",".248",".296",".471",".767",".326"," ","106","-1.0","0.0"," ","2.8","-15.1","0.6","11003"
"Alex Rodriguez","Yankees","631","546","131","22","1","23","75","77","73","153","6","4","2"," ",".240",".334",".413",".747",".326"," ","104","-2.3","-0.4"," ","0.9","-15.1","0.7","1274"
"Kennys Vargas","Twins","293","264","67","12","1","11","34","38","24","71","2","1","0"," ",".256",".320",".435",".755",".326"," ","105","-0.1","0.1"," ","1.5","-7.5","0.4","12101"
"David Bergin","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".260",".306",".450",".756",".325"," ","88","0.0","0.0"," ","0.0","0.0","0.0","sa599324"
"A.J. Reed","Astros","133","119","30","6","1","4","16","15","11","29","1","1","0"," ",".257",".325",".421",".746",".323"," ","103","0.1","0.0"," ","0.6","-2.7","0.2","sa599279"
"Josmil Pinto","Twins","33","30","8","2","0","1","4","4","3","7","0","0","0"," ",".255",".322",".416",".738",".321"," ","102","0.0","0.0"," ","0.0","-0.9","0.0","6806"
"Billy Butler","Athletics","486","434","114","23","1","12","53","56","43","82","4","1","0"," ",".263",".333",".403",".736",".321"," ","105","-4.6","0.0"," ","-1.8","-13.2","0.1","7399"
"Joey Butler","Indians","189","169","44","8","0","5","21","20","15","51","2","2","1"," ",".259",".325",".397",".722",".317"," ","100","-0.5","-0.1"," ","-0.6","-3.6","0.2","7799"
"Ryan Raburn"," ","204","182","44","10","1","7","22","24","18","48","2","1","0"," ",".243",".315",".412",".728",".315"," ","98","-0.1","-1.0"," ","-0.7","-3.4","0.3","2218"
"Josh Willingham","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".324",".391",".715",".315"," ","97","0.0","0.0"," ","0.0","0.0","0.0","2103"
"Henry Urrutia","Orioles","376","348","97","17","1","9","40","40","21","72","2","3","2"," ",".278",".319",".405",".724",".315"," ","96","-0.3","-0.4"," ","-2.3","-5.1","0.5","14441"
"C.J. Cron","Angels","532","496","128","25","2","19","59","68","24","105","6","3","2"," ",".259",".298",".432",".730",".314"," ","103","-0.9","-1.5"," ","0.9","-13.7","0.5","12546"
"Dean Green","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".268",".318",".406",".724",".314"," ","97","0.0","0.0"," ","0.0","0.0","0.0","sa526876"
