"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Hanley Ramirez","Red Sox","472","425","121","26","1","18","61","67","37","79","5","7","4"," ",".284",".345",".475",".820",".353"," ","120","-0.8","3.7"," ","9.8","-6.2","2.0","8001"
"Carlos Correa","Astros","633","569","156","32","3","22","80","82","54","110","4","20","11"," ",".275",".339",".457",".796",".343"," ","117","0.3","-2.7"," ","13.1","4.3","4.1","14162"
"Xander Bogaerts","Red Sox","641","587","172","35","2","16","79","79","42","107","5","7","5"," ",".293",".343",".441",".783",".339"," ","110","0.9","-2.5"," ","8.7","4.8","3.7","12161"
"Troy Tulowitzki","Blue Jays","527","467","121","24","1","19","68","65","49","106","5","2","1"," ",".260",".334",".441",".775",".334"," ","110","-1.2","1.4"," ","4.8","7.3","3.1","3531"
"Jose Reyes","Rockies","386","355","106","21","2","6","47","36","24","44","2","15","6"," ",".298",".343",".419",".762",".332"," ","92","1.0","-5.1"," ","-2.5","-0.8","0.9","1736"
"Javier Baez","Cubs","333","306","77","14","1","15","39","46","19","93","4","8","4"," ",".252",".302",".457",".759",".326"," ","105","0.4","-0.1"," ","2.3","0.3","1.4","12979"
"Jung-ho Kang","Pirates","512","464","121","24","2","15","55","62","35","117","8","6","4"," ",".260",".320",".418",".738",".321"," ","106","0.6","1.0"," ","4.2","3.3","2.5","17182"
"Corey Seager","Dodgers","594","545","145","31","2","17","68","67","38","110","4","5","3"," ",".265",".315",".423",".739",".319"," ","105","0.4","-2.0"," ","3.6","4.8","2.9","13624"
"Jhonny Peralta","Cardinals","564","507","133","28","1","14","59","65","46","104","5","3","2"," ",".262",".327",".406",".734",".318"," ","102","-2.5","-2.1"," ","-1.2","4.5","2.2","1738"
"Marcus Semien","Athletics","578","518","130","25","5","16","66","64","49","114","3","10","6"," ",".251",".318",".411",".729",".317"," ","103","0.1","-5.4"," ","1.8","1.5","2.4","12533"
"Trea Turner","Nationals","450","415","117","20","3","7","47","44","26","95","2","17","9"," ",".282",".325",".398",".724",".316"," ","98","0.3","-2.7"," ","-0.9","2.6","1.7","16252"
"Eugenio Suarez","Reds","457","415","106","20","2","13","46","51","31","97","5","6","4"," ",".254",".311",".410",".721",".313"," ","94","-0.3","3.7"," ","-3.2","6.4","1.8","12552"
"Trevor Story","Rockies","34","31","8","2","0","1","4","4","2","9","0","1","0"," ",".249",".307",".416",".723",".313"," ","79","0.0","0.0"," ","-0.8","0.4","0.1","sa597765"
"Brad Miller","Rays","467","417","105","19","4","11","51","47","41","92","3","9","5"," ",".252",".320",".394",".714",".312"," ","100","0.6","-1.8"," ","0.7","3.7","2.1","12775"
"Wilmer Flores","Mets","334","312","82","16","1","11","33","40","16","42","2","1","1"," ",".264",".302",".421",".723",".311"," ","101","0.2","4.3"," ","0.4","2.1","1.4","5827"
"Francisco Lindor","Indians","643","589","158","27","5","12","73","62","43","102","3","19","12"," ",".268",".319",".390",".709",".310"," ","95","-1.1","4.8"," ","-4.6","11.9","3.0","12916"
"Jed Lowrie","Athletics","481","428","108","25","1","10","51","49","43","71","4","2","1"," ",".252",".324",".383",".707",".308"," ","96","-0.3","-2.6"," ","-2.6","-1.1","1.3","4418"
"J.P. Crawford","Phillies","233","208","53","9","2","4","21","21","21","34","1","5","3"," ",".256",".325",".368",".693",".306"," ","91","-0.1","0.0"," ","-2.6","2.8","0.8","sa737507"
"Addison Russell","Cubs","536","484","119","27","2","14","56","60","39","128","4","9","4"," ",".247",".307",".394",".701",".306"," ","91","0.5","2.6"," ","-4.9","9.3","2.2","14106"
"Eduardo Escobar","Twins","420","386","100","23","2","8","43","43","26","81","3","4","2"," ",".260",".309",".393",".702",".305"," ","91","0.4","-2.4"," ","-4.2","0.0","1.0","6153"
"Starlin Castro","Yankees","579","537","143","28","2","13","60","63","29","93","5","7","4"," ",".267",".308",".397",".705",".304"," ","90","-1.4","-0.6"," ","-8.3","2.6","1.4","4579"
"Cristhian Adames","Rockies","54","50","14","2","0","1","5","5","3","8","0","1","1"," ",".277",".323",".374",".697",".304"," ","74","0.0","0.2"," ","-1.6","0.6","0.1","6013"
"Yunel Escobar","Angels","578","521","139","23","1","8","61","51","44","73","5","3","2"," ",".266",".327",".360",".687",".304"," ","96","-2.1","0.4"," ","-5.0","2.6","1.8","4191"
"Jose Iglesias","Tigers","484","444","124","19","3","4","50","46","26","54","7","13","7"," ",".280",".327",".364",".692",".304"," ","89","-1.0","-0.4"," ","-6.9","5.8","1.6","10231"
"Asdrubal Cabrera","Mets","505","456","111","24","3","13","49","53","37","96","5","6","3"," ",".243",".305",".393",".698",".303"," ","95","-0.1","-9.8"," ","-3.0","-4.0","0.9","4962"
"Didi Gregorius","Yankees","538","487","125","23","2","10","56","55","35","80","8","5","3"," ",".256",".313",".377",".690",".302"," ","88","1.7","0.1"," ","-5.6","7.0","2.0","6012"
"Elvis Andrus","Rangers","593","538","143","28","2","5","61","53","44","77","3","24","11"," ",".267",".323",".354",".678",".300"," ","82","2.4","0.6"," ","-10.2","7.7","1.8","8709"
"Eduardo Nunez","Twins","157","146","39","8","1","2","16","16","8","24","1","5","3"," ",".264",".304",".383",".687",".299"," ","87","0.3","-3.0"," ","-2.2","-1.5","0.2","6848"
"Ian Desmond"," ","589","536","127","26","2","17","59","66","41","164","5","13","6"," ",".236",".294",".390",".685",".299"," ","87","1.0","-3.6"," ","-8.1","3.5","1.5","6885"
"Brandon Crawford","Giants","528","473","114","24","4","12","49","55","43","112","6","5","4"," ",".242",".310",".381",".691",".298"," ","94","0.1","2.3"," ","-3.8","8.7","2.3","5343"
"Daniel Descalso","Rockies","109","97","24","5","1","2","11","10","9","21","1","2","1"," ",".252",".320",".369",".689",".298"," ","69","0.2","-1.7"," ","-3.7","-0.9","-0.1","8392"
"Greg Garcia","Cardinals","32","29","7","1","0","0","3","3","3","6","0","1","0"," ",".252",".327",".341",".668",".297"," ","87","0.0","-0.1"," ","-0.5","0.1","0.1","10951"
"Chris Taylor","Mariners","86","77","20","4","1","1","9","7","7","17","1","3","1"," ",".259",".321",".351",".672",".297"," ","90","0.2","0.8"," ","-0.9","1.5","0.4","13757"
"Josh Rutledge","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".255",".303",".377",".680",".297"," ","81","0.0","0.0"," ","0.0","0.0","0.0","11167"
"Orlando Arcia","Brewers","88","82","22","4","1","1","8","8","4","12","1","3","2"," ",".264",".301",".382",".683",".297"," ","82","0.0","0.0"," ","-1.9","1.1","0.2","sa596917"
"Erick Aybar","Braves","610","569","154","33","2","6","59","52","29","69","4","13","6"," ",".271",".309",".371",".681",".297"," ","87","1.0","-2.6"," ","-8.6","4.4","1.6","4082"
"Jose Ramirez","Indians","319","291","75","14","2","4","34","29","22","32","1","14","7"," ",".258",".311",".363",".675",".296"," ","86","0.7","2.9"," ","-4.5","4.4","1.1","13510"
"Dean Anna","Cardinals","13","12","3","1","0","0","1","1","1","2","0","0","0"," ",".247",".324",".338",".662",".296"," ","86","0.0","0.0"," ","-0.2","0.1","0.0","8353"
"Christian Colon","Royals","242","221","58","9","1","3","24","22","16","27","2","6","3"," ",".264",".316",".352",".668",".295"," ","83","0.0","-0.3"," ","-4.7","1.0","0.5","11145"
"Aledmys Diaz","Cardinals","7","6","2","0","0","0","1","1","0","1","0","0","0"," ",".254",".297",".379",".676",".294"," ","85","0.0","0.0"," ","-0.1","0.1","0.0","sa803159"
