"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Kyle Schwarber","Cubs","145","586","512","128","22","4","32","98","100","65","157","4","4","2",".250",".337",".496",".833",".357","-9.0","-0.3","2.2","16478"
"Buster Posey","Giants","147","606","541","165","29","1","18","70","86","54","63","4","2","1",".305",".368",".462",".830",".356","2.0","-0.3","5.8","9166"
"John Jaso","Pirates","80","269","233","63","16","1","6","31","29","31","45","3","2","1",".270",".361",".425",".785",".344","-2.0","-0.1","0.8","5887"
"Yasmani Grandal","Dodgers","103","381","322","75","15","1","14","44","50","54","91","2","1","0",".233",".344",".416",".760",".333","1.0","0.0","2.8","11368"
"Russell Martin","Blue Jays","113","450","386","91","19","1","16","50","63","50","97","10","5","4",".236",".336",".415",".751",".329","4.0","-0.8","3.1","4616"
"Jonathan Lucroy","Brewers","117","481","431","119","27","3","9","56","55","42","63","2","2","1",".276",".340",".415",".755",".329","3.0","-0.2","3.0","7870"
"Wilin Rosario","Rockies","123","436","414","115","24","1","16","47","60","18","93","2","3","2",".278",".310",".457",".766",".328","-8.0","-0.4","-0.8","8002"
"Travis d'Arnaud","Mets","99","388","355","90","20","2","15","49","55","27","69","4","0","0",".254",".312",".448",".760",".326","-3.0","-0.2","2.2","7739"
"Evan Gattis","Astros","125","485","452","114","20","5","22","54","71","25","100","5","0","1",".252",".297",".465",".762",".324","0.0","-0.6","0.6","11003"
"Clint Coulter","Brewers","136","565","504","119","29","3","22","73","78","43","133","14","5","7",".236",".312",".437",".748",".324","-5.0","-2.0","0.5","sa657922"
"Brian McCann","Yankees","122","479","428","105","15","1","21","55","79","40","82","7","0","0",".245",".317",".432",".750",".324","0.0","-0.2","2.8","4810"
"Francisco Cervelli","Pirates","85","326","288","79","12","3","4","35","28","28","60","7","1","0",".274",".352",".378",".730",".324","2.0","0.0","2.2","5275"
"Josmil Pinto","Twins","103","413","375","94","19","1","15","50","50","33","95","3","0","1",".251",".315",".427",".741",".323","-9.0","-0.6","1.1","6806"
"Nick Hundley","Rockies","94","330","307","84","16","2","9","32","40","18","68","2","3","3",".274",".316",".427",".743",".321","-5.0","-0.7","0.5","3376"
"Devin Mesoraco","Reds","71","241","214","52","11","0","9","26","30","21","50","4","1","1",".243",".320",".421",".740",".320","-2.0","-0.3","1.0","5666"
"Welington Castillo","Diamondbacks","108","393","354","88","18","0","14","38","48","28","92","7","1","0",".249",".314",".418",".732",".318","-4.0","0.0","1.4","3256"
"Michael McKenry","Rangers","61","188","163","37","8","1","6","18","21","21","48","2","1","2",".227",".321",".399",".720",".317","-4.0","-0.7","0.4","9628"
"Matt Wieters","Orioles","86","338","307","78","15","1","12","33","41","26","66","0","1","0",".254",".308",".427",".734",".316","-4.0","0.1","1.3","4298"
"Stephen Vogt","Athletics","118","446","401","102","18","3","13","46","53","38","77","1","1","1",".254",".317",".411",".728",".314","-6.0","-0.4","1.8","5000"
"Derek Norris","Padres","129","468","421","104","23","1","13","55","54","41","109","4","4","1",".247",".318",".399",".717",".314","-1.0","0.2","2.5","6867"
"Salvador Perez","Royals","141","555","528","143","26","2","18","54","71","19","77","4","1","0",".271",".299",".430",".729",".312","3.0","0.0","3.0","7304"
"Yan Gomes","Indians","111","430","398","102","23","2","14","49","53","20","106","6","1","0",".256",".298",".430",".727",".312","1.0","0.0","2.3","9627"
"Jesus Montero","Mariners","116","467","436","114","18","2","15","54","61","24","100","2","1","1",".261",".300",".415",".715",".307","-3.0","-0.4","0.2","5514"
