"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Edwin Encarnacion","Blue Jays","130","554","477","129","27","1","29","73","97","67","82","5","4","1",".270",".363",".514",".876",".372","-2.0","0.1","3.1","2151"
"David Ortiz","Red Sox","125","526","455","120","28","0","30","52","89","63","90","1","0","1",".264",".350",".523",".873",".362","0.0","-0.6","2.0","745"
"Chris Carter","Brewers","132","505","435","103","22","1","31","65","85","60","154","5","2","1",".237",".333",".506",".838",".358","-3.0","-0.2","1.8","9911"
"Miguel Sano","Twins","121","511","446","111","24","3","26","68","76","58","166","3","4","3",".249",".337",".491",".828",".354","-6.0","-0.6","2.8","12164"
"Nelson Cruz","Mariners","140","595","540","143","23","1","33","72","84","47","145","5","4","3",".265",".328",".494",".822",".350","-5.0","-0.6","2.7","2434"
"John Jaso","Pirates","80","269","233","63","16","1","6","31","29","31","45","3","2","1",".270",".361",".425",".785",".344","-2.0","-0.1","0.8","5887"
"A.J. Reed","Astros","138","633","559","146","23","4","26","86","84","64","158","4","0","0",".261",".338",".456",".794",".343","2.0","-0.3","2.5","sa599279"
"Kendrys Morales","Royals","141","565","514","142","30","1","18","63","79","43","102","5","0","0",".276",".336",".444",".780",".337","0.0","-0.3","1.3","8610"
"Alex Rodriguez","Yankees","116","481","414","98","17","1","23","60","74","56","119","5","4","1",".237",".331",".449",".780",".336","0.0","0.2","1.1","1274"
"Albert Pujols","Angels","140","602","550","146","30","0","28","76","90","42","69","5","5","2",".265",".321",".473",".793",".335","4.0","0.0","2.6","1177"
"Prince Fielder","Rangers","139","603","528","143","26","0","18","60","74","61","93","10","1","0",".271",".355",".422",".777",".334","0.0","-0.1","0.9","4613"
"Victor Martinez","Tigers","120","497","448","125","23","0","18","50","79","38","46","5","1","1",".279",".338",".451",".789",".332","0.0","-0.4","0.9","393"
"Evan Gattis","Astros","125","485","452","114","20","5","22","54","71","25","100","5","0","1",".252",".297",".465",".762",".324","0.0","-0.6","0.6","11003"
"Clint Coulter","Brewers","136","565","504","119","29","3","22","73","78","43","133","14","5","7",".236",".312",".437",".748",".324","-5.0","-2.0","0.5","sa657922"
"Josmil Pinto","Twins","103","413","375","94","19","1","15","50","50","33","95","3","0","1",".251",".315",".427",".741",".323","-9.0","-0.6","1.1","6806"
"Ryan Raburn"," ","75","216","193","47","12","0","7","23","29","19","51","3","0","0",".244",".319",".415",".734",".320","-5.0","-0.1","0.0","2218"
"Adam Lind","Mariners","126","467","417","108","22","1","12","51","57","47","91","1","0","0",".259",".334",".403",".737",".319","0.0","-0.2","1.0","8027"
"Joey Butler","Indians","105","384","346","88","18","1","10","43","39","32","106","5","2","1",".254",".326",".399",".724",".319","-4.0","-0.2","0.5","7799"
"Billy Butler","Athletics","150","604","542","143","28","1","14","59","72","52","98","5","0","0",".264",".331",".397",".728",".316","0.0","-0.3","0.6","7399"
"C.J. Cron","Angels","137","527","496","128","25","2","19","54","67","20","105","7","3","2",".258",".294",".431",".726",".312","-4.0","-0.4","0.4","12546"
"Kennys Vargas","Twins","127","509","462","110","18","1","19","59","62","39","142","4","0","1",".238",".301",".405",".705",".306","-3.0","-0.6","-0.1","12101"
"Nick Swisher","Braves","113","478","416","94","22","1","13","49","50","55","117","2","1","1",".226",".317",".377",".694",".305","-1.0","-0.4","0.1","4599"
"Corey Hart"," ","73","254","235","57","11","1","9","28","34","14","61","4","2","0",".243",".295",".413",".708",".305","-4.0","0.3","-0.2","1945"
"Jesus Aguilar","Indians","135","560","510","124","25","1","18","61","69","40","145","5","0","0",".243",".302",".402",".704",".305","0.0","-0.2","0.3","11342"
"Zach Walters","Indians","123","454","425","99","23","4","18","48","57","22","132","3","2","2",".233",".274",".433",".707",".302","4.0","-0.5","0.9","10622"
"Delmon Young"," ","86","301","286","77","12","0","8","29","34","10","57","3","1","0",".269",".299",".395",".694",".302","-4.0","0.1","-0.2","2140"
"Dan Johnson","Cardinals","110","448","395","90","18","1","13","50","49","45","84","3","1","0",".228",".308",".377",".685",".300","0.0","0.0","0.0","2167"
"Dean Green","Tigers","105","428","394","99","16","1","11","45","44","25","85","6","1","1",".251",".304",".381",".684",".299","-1.0","-0.4","-0.2","sa526876"
"Steven Moya","Tigers","133","543","515","118","25","2","25","60","71","21","188","3","7","3",".229",".262",".431",".693",".296","-2.0","0.0","0.0","11854"
"Rafael Devers","Red Sox","112","484","456","111","27","2","13","51","55","20","121","4","2","2",".243",".280",".397",".676",".293","-2.0","-0.6","0.3","sa828312"
"Andrew Knapp","Phillies","100","427","390","89","21","3","10","48","45","30","133","5","3","3",".228",".290",".374",".665",".291","-5.0","-0.8","0.6","sa550140"
