"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Carlos Correa","Astros","123","556","498","136","28","3","25","71","88","49","109","4","23","4",".273",".340",".492",".832",".355","0.0","2.8","4.7","14162"
"Hanley Ramirez","Red Sox","119","480","423","117","32","1","13","58","67","50","84","5","12","4",".277",".358",".449",".808",".351","0.0","0.6","1.9","8001"
"Troy Tulowitzki","Blue Jays","113","466","414","108","22","1","17","57","61","43","100","5","1","1",".261",".335",".442",".777",".335","4.0","-0.4","3.1","3531"
"Jose Reyes","Rockies","121","545","504","152","26","3","9","68","53","33","50","0","22","6",".302",".343",".419",".761",".330","-6.0","1.8","1.4","1736"
"Corey Seager","Dodgers","147","643","595","158","38","5","20","80","87","37","128","5","5","1",".266",".311",".447",".758",".325","0.0","0.3","3.6","13624"
"Xander Bogaerts","Red Sox","156","651","602","174","34","3","12","74","73","36","110","5","8","2",".289",".332",".415",".747",".325","-2.0","0.5","2.9","12161"
"Jung-ho Kang","Pirates","123","497","447","113","25","2","15","61","62","35","136","13","5","3",".253",".324",".418",".742",".324","-3.0","-0.4","2.3","17182"
"Trevor Story","Rockies","124","543","492","120","29","7","18","57","63","42","161","5","17","4",".244",".308",".441",".749",".322","-2.0","1.6","1.4","sa597765"
"Javier Baez","Cubs","128","526","483","120","22","3","22","66","71","31","152","7","18","6",".248",".301",".443",".744",".320","-6.0","1.0","1.9","12979"
"Francisco Lindor","Indians","153","679","612","168","28","7","15","72","68","45","123","1","20","10",".275",".321",".417",".738",".320","7.0","-0.2","4.1","12916"
"Asdrubal Cabrera","Mets","140","567","515","133","31","4","15","71","65","40","99","5","7","3",".258",".315",".421",".736",".317","-10.0","0.0","1.8","4962"
"Eugenio Suarez","Reds","149","607","552","140","27","4","18","68","65","40","145","7","8","6",".254",".311",".415",".726",".316","-3.0","-1.0","2.0","12552"
"Jhonny Peralta","Cardinals","135","549","498","130","27","1","14","53","62","43","100","4","2","3",".261",".322",".404",".726",".315","0.0","-1.0","2.3","1738"
"Addison Russell","Cubs","132","500","460","116","26","3","14","61","59","34","126","3","7","3",".252",".307",".413",".720",".312","4.0","0.0","2.4","14106"
"J.P. Crawford","Phillies","119","541","484","123","22","4","11","65","53","50","97","2","12","8",".254",".325",".384",".709",".311","3.0","-1.0","2.3","sa737507"
"Ian Desmond","Rangers","148","617","564","139","26","2","22","69","74","42","166","4","16","5",".246",".301",".417",".718",".311","4.0","1.0","1.2","6885"
"Cristhian Adames","Rockies","137","558","510","145","21","5","7","53","47","31","89","3","10","9",".284",".327",".386",".714",".311","3.0","-1.8","1.1","6013"
"Brad Miller","Rays","143","538","481","121","21","5","13","62","54","46","113","2","10","4",".252",".316",".397",".714",".311","-2.0","0.2","2.3","12775"
"Brandon Crawford","Giants","146","545","490","122","26","5","14","58","67","43","112","6","5","3",".249",".314",".408",".723",".309","7.0","-0.4","3.2","5343"
"Marcus Semien","Athletics","150","618","558","136","27","6","15","73","60","53","133","3","12","4",".244",".312",".394",".706",".309","-4.0","0.5","2.3","12533"
"Starlin Castro","Yankees","156","639","602","165","28","3","15","64","75","28","108","5","8","5",".274",".310",".405",".716",".308","1.0","-0.7","1.9","4579"
"Eduardo Escobar","Twins","126","437","403","103","27","4","9","49","45","26","88","2","3","3",".256",".302",".409",".711",".307","1.0","-0.8","1.6","6153"
"Wilmer Flores","Mets","143","556","520","136","27","3","15","65","70","25","79","4","1","2",".262",".298",".412",".710",".305","-8.0","-0.8","1.3","5827"
"Jose Ramirez","Indians","141","568","511","134","27","5","8","70","49","41","59","1","22","9",".262",".316",".382",".698",".305","4.0","0.6","2.1","13510"
"Didi Gregorius","Yankees","143","560","506","130","22","5","10","58","52","37","91","9","4","2",".257",".317",".379",".696",".304","2.0","-0.3","2.1","6012"
"Yunel Escobar","Angels","135","544","494","133","20","1","7","53","47","40","67","5","2","2",".269",".329",".356",".685",".304","-4.0","-0.7","1.3","4191"
"Jed Lowrie","Athletics","105","423","380","94","23","1","9","47","44","36","62","3","1","0",".247",".315",".384",".699",".304","-2.0","0.0","1.1","4418"
"Alex Blandino","Reds","120","518","476","119","27","3","12","64","47","31","94","6","6","11",".250",".302",".395",".697",".304","-3.0","-3.3","0.9","sa602521"
"Jimmy Rollins","White Sox","125","509","457","108","19","3","13","68","42","48","87","0","15","7",".236",".308",".376",".684",".301","-4.0","0.0","1.1","971"
"Trea Turner","Nationals","121","483","445","115","19","5","8","56","47","31","110","1","20","6",".258",".306",".378",".683",".298","4.0","1.4","1.9","16252"
"Dean Anna","Cardinals","111","455","398","98","20","3","4","54","40","45","64","5","3","4",".246",".327",".342",".669",".298","0.0","-1.2","0.9","8353"
"Erick Aybar","Braves","147","607","564","154","31","4","6","73","50","28","63","4","13","6",".273",".309",".374",".684",".297","-4.0","0.0","1.3","4082"
"Marwin Gonzalez","Astros","117","363","338","87","17","1","8","40","30","16","67","2","4","4",".257",".295",".385",".680",".297","-1.0","-0.9","0.8","5497"
